,name,wine_url,productVarietal,productStock,productRegion,productPrice,productOrigin,productID,productCompetitiveIntensity,ProductAvailability,pProductID,description,pageName,shippingRegion,shipToState,priceCurrency,price,averageRating_bestRating,averageRating_worstRating,bestRating,worstRating,additionalType,uploadDate,prodAlcoholVolume_text,prodAlcoholPercent_percent,JS,WS,WW,D,BH,W&S,WE,RP,JD,SJ,V,CG,TP
w97,Vavasour Winery Image,https://www.wine.com/product/product/vavasour-sauvignon-blanc-2021/911357,Sauvignon Blanc,1063,Marlborough,$19.99,"Marlborough, New Zealand",911357,C/I: Long Tail,In Stock,PIN536188_2021,The Awatere Valley is Marlborough's smallest sub-region: a colder climate and rugged landscapes carved by ancient glaciers.,Wine:Product Detail:Vavasour Sauvignon Blanc 2021,NY,PA,USD,19.99,5,1,5,1,winery-image,2019-09-09T22:17:47+0000,750,13.5,,90,90,95,,,,,,,,,
w98,Old Vine,https://www.wine.com/product/product/dog-point-vineyard-section-94-sauvignon-blanc-2020/1232356,Sauvignon Blanc,12,Marlborough,$45.99,"Marlborough, New Zealand",1232356,C/I: Long Tail,In Stock,VNT0030020020_03_2020,"The old vine Sauvignon Blanc, used for the Section 94 Sauvignon Blanc, comes from a singular parcel of low yield vineyards that is entirely hand-harvested and fermented with native yeasts.",Wine:Product Detail:Dog Point Vineyard Section 94 Sauvignon Blanc 2020,NY,PA,USD,45.99,5,1,,,winery-image,2020-06-19T20:01:55+0000,750,14,95.0,95,,,,,,,,,,,
w99,The cellars of Chateau de Pez,https://www.wine.com/product/product/chateau-de-pez-2018/913789,Bordeaux Red Blends,611,St. Estephe,$60.99,"St. Estephe, Bordeaux, France",913789,C/I: Luxury BDX,In Stock,CGM43535_2018,Chateau de Pez The cellars of Chateau de Pez Winery Image,Wine:Product Detail:Chateau de Pez 2018,NY,PA,USD,60.99,5,1,,,winery-image,2018-03-01T03:57:09+0000,750,14.5,93.0,92,91,92,,,94,92,94,,,,
w100,Cerretalto is the Backbone ,https://www.wine.com/product/product/casanova-di-neri-brunello-di-montalcino-cerretalto-2016/879969,Sangiovese,18,Montalcino,$419.99,"Montalcino, Tuscany, Italy",879969,C/I: Exception,In Stock - Last Call,WBO30289512_2016,"Their incredible and distinctive sangiovese grape, obtained from a massal clone selection in the Cerretalto Vineyard.J",Wine:Product Detail:Casanova di Neri Brunello di Montalcino Cerretalto 2016,NY,PA,USD,419.99,5,1,5,1,winery-image,2021-02-26T18:29:46+0000,750,15,100.0,98,,98,,,,98,,,,,
w101,Nick Picone - Group Chief Winemaker,https://www.wine.com/product/product/villa-maria-taylors-pass-sauvignon-blanc-2021/1114232,Sauvignon Blanc,142,Marlborough,$28.99,"Marlborough, New Zealand",1114232,C/I: Long Tail,In Stock,WBO30291086_2021,Villa Maria Nick Picone - Group Chief Winemaker Winery Image,Wine:Product Detail:Villa Maria Taylors Pass Sauvignon Blanc 2021,NY,PA,USD,28.99,5,1,5,1,winery-image,2019-03-06T18:50:04+0000,750,14,92.0,92,,95,,,90,,,,,,
w102,Tenuta di Capraia  Winery Image,https://www.wine.com/product/product/tenuta-di-capraia-chianti-classico-effe-55-gran-selezione-2018/1155021,Sangiovese,2421,Chianti Classico,$38.99,"Chianti Classico, Chianti, Tuscany, Italy",1155021,C/I: Long Tail,In Stock,TON83416_18_2018,Tenuta di Capraia  Winery Image,Wine:Product Detail:Tenuta di Capraia Chianti Classico Effe 55 Gran Selezione 2018,NY,PA,USD,38.99,5,1,5,1,winery-image,2020-02-25T16:39:12+0000,750,15,93.0,95,,,,,,92,,,,,
w103,Chardonnay Vineyards,https://www.wine.com/product/product/laurent-perrier-la-cuvee-brut-187ml-split/330990,Non-Vintage Sparkling Wine,1693,Champagne,$16.97,"Champagne, France",330990,C/I: Exception,In Stock,WBO30197276_0,Chardonnay Vineyards at the Laurent-Perrier Domaine in Tours-sur-Marne,Wine:Product Detail:Laurent-Perrier La Cuvee Brut (187ML Split),NY,PA,USD,16.97,5,1,5,1,winery-image,2018-11-14T00:43:19+0000,187,12,,91,,,,,91,,91,,,,
w104,Chateau Latour Barrel Room,https://www.wine.com/product/product/chateau-latour-2005/97450,Bordeaux Red Blends,8,Pauillac,"$1,179.99","Pauillac, Bordeaux, France",97450,C/I: Luxury BDX,In Stock,BAN97450_2005,Chateau Latour Chateau Latour Barrel Room Winery Image,Wine:Product Detail:Chateau Latour 2005,NY,PA,USD,1179.99,5,1,5,1,winery-image,2023-03-02T19:01:44+0000,750,13,100.0,99,,,,100,100,98,,,100,,
w105,Woolly Weeders at Honig,https://www.wine.com/product/product/honig-cabernet-sauvignon-2019/612885,Cabernet Sauvignon,621,Napa Valley,$52.99,"Napa Valley, California",612885,C/I: Popular,In Stock,CGM52284_2019,"As part of the sustainable program at Honig, sheep are brought in to help manage the cover crop between the vines, helping to eliminate the need for chemicals, herbicides and fertilizers. ",Wine:Product Detail:Honig Cabernet Sauvignon 2019,NY,PA,USD,52.99,5,1,5,1,winery-image,2022-02-28T19:30:09+0000,750,15.1,92.0,90,91,,,,,,,,,,
w106,Chateau Pape Clement,https://www.wine.com/product/product/chateau-pape-clement-2015/157785,Bordeaux Red Blends,8,Pessac-Leognan,$133.97,"Pessac-Leognan, Bordeaux, France",157785,C/I: Luxury BDX,In Stock,FNY157785_2015,"Château Pape Clément derives its name from Bertrand de Goth, who in 1305 became Pope Clément V.",Wine:Product Detail:Chateau Pape Clement 2015,NY,PA,USD,133.97,5,1,5,1,winery-image,2018-04-25T18:27:49+0000,750,14.5,99.0,95,,95,,,95,96,97,,,,
w107,Tenuta di Bibbiano Winery Image,https://www.wine.com/product/product/bibbiano-montornello-chianti-classico-gran-selezione-2019/1133006,Sangiovese,52,Chianti Classico,$37.99,"Chianti Classico, Chianti, Tuscany, Italy",1133006,C/I: Long Tail,In Stock,SHR106929_2019,Inside of Bibbiano Winery (old vintage library).,Wine:Product Detail:Bibbiano Montornello Chianti Classico Gran Selezione 2019,NY,PA,USD,37.99,5,1,5,1,winery-image,2020-04-22T22:58:31+0000,750,14,93.0,94,,,,,,94,,,,,
w108,"VINCENT CHAPERON, THE CELLAR MASTER",https://www.wine.com/product/product/dom-perignon-rose-2008/781102,Sparkling Rosé,5,Champagne,$489.97,"Champagne, France",781102,C/I: Exception,In Stock,CGM52513_2008,In 2019 Vincent Chaperon became the Dom Pérignon Chef de Cave. He was born to a Bordeaux winemaking family where vineyards are a legacy and wine is a culture. Vincent sees Dom Pérignon’s vision – harmony as a source of emotion – as a true raison d’être. ,Wine:Product Detail:Dom Perignon Rose 2008,NY,PA,USD,489.97,5,1,,,winery-image,2021-05-15T19:05:10+0000,750,0,99.0,97,,95,,,,,95,,,,
w109,Chateau Peby Faugeres Winery Image,https://www.wine.com/product/product/chateau-peby-faugeres-2005/723698,Bordeaux Red Blends,3,St. Emilion,$394.99,"St. Emilion, Bordeaux, France",723698,C/I: Luxury BDX,In Stock,JKO723698_2005,Chateau Peby Faugeres Winery Image,Wine:Product Detail:Chateau Peby Faugeres 2005,NY,PA,USD,394.99,5,1,,,winery-image,2018-02-01T23:41:39+0000,750,0,,94,,,,,,95,,,,,
w110,Galerie Imperiale,https://www.wine.com/product/product/moet-and-chandon-imperial-brut-187ml-split/145002,Non-Vintage Sparkling Wine,1282,Champagne,$15.97,"Champagne, France",145002,C/I: Exception,In Stock,CGM8535_0,Moët & Chandon Galerie Imperiale Winery Image,Wine:Product Detail:Moet & Chandon Imperial Brut (187ML Split),NY,PA,USD,15.97,5,1,5,1,winery-image,2018-07-26T18:14:41+0000,187,12,90.0,91,,90,,90,,,,93,,,92
w111,Round Pond Estate  Winery Image,https://www.wine.com/product/product/round-pond-kith-and-kin-cabernet-sauvignon-2019/780744,Cabernet Sauvignon,105,Napa Valley,$39.99,"Napa Valley, California",780744,C/I: Popular,In Stock,OPI28529_2019,Round Pond Estate  Winery Image,Wine:Product Detail:Round Pond Kith and Kin Cabernet Sauvignon 2019,NY,PA,USD,39.99,5,1,5,1,winery-image,2020-04-17T16:52:06+0000,750,0,,92,,,,,,,,,,,92
w112,Colgin Winery Image,https://www.wine.com/product/product/colgin-tychson-hill-cabernet-sauvignon-2019/1251022,Cabernet Sauvignon,2,Napa Valley,$759.99,"Napa Valley, California",1251022,C/I: Exception,In Stock - Last Call,IPOPI11686_2019,Colgin Winery Image,Wine:Product Detail:Colgin Tychson Hill Cabernet Sauvignon 2019,NY,PA,USD,759.99,5,1,,,winery-image,2018-02-01T23:41:44+0000,750,0,,96,,,,,,100,98,,,,
w113,Galerie Imperiale,https://www.wine.com/product/product/moet-and-chandon-rose-imperial/21515,Sparkling Rosé,354,Champagne,$68.99,"Champagne, France",21515,C/I: Popular,In Stock,CGM3866_0,Moët & Chandon Galerie Imperiale Winery Image,Wine:Product Detail:Moet & Chandon Rose Imperial,NY,PA,USD,68.99,5,1,5,1,winery-image,2018-07-26T18:14:41+0000,750,12,91.0,91,,,,,,,,93,,,
w114,Invivo X  Winery Image,https://www.wine.com/product/product/invivo-x-by-sarah-jessica-parker-sauvignon-blanc-2021/878431,Sauvignon Blanc,185,Marlborough,$18.99,"Marlborough, New Zealand",878431,C/I: Long Tail,In Stock,EDV132231_2021_2021,Invivo X  Winery Image,Wine:Product Detail:Invivo X by Sarah Jessica Parker Sauvignon Blanc 2021,NY,PA,USD,18.99,5,1,5,1,winery-image,2020-03-13T20:29:33+0000,750,13.2,90.0,92,,,,,,,,,,,
w115,Marco Bacci,https://www.wine.com/product/product/castello-di-bossi-chianti-classico-riserva-berardo-2018/1176445,Sangiovese,2155,Chianti Classico,$29.99,"Chianti Classico, Chianti, Tuscany, Italy",1176445,C/I: Popular,In Stock,WBO30290104_2018,Castello di Bossi Marco Bacci Winery Image,Wine:Product Detail:Castello di Bossi Chianti Classico Riserva Berardo 2018,NY,PA,USD,29.99,5,1,5,1,winery-image,2018-08-21T22:21:40+0000,750,14.5,94.0,93,,,,,94,90,,,,,
w116,Picnic on the Patio,https://www.wine.com/product/product/rodney-strong-charlottes-home-sauvignon-blanc-2021/984306,Sauvignon Blanc,694,Sonoma County,$11.99,"Sonoma County, California",984306,C/I: KVI,In Stock,PIN549755_2021,Rodney Strong Vineyards Picnic on the Patio Winery Image,Wine:Product Detail:Rodney Strong Charlotte's Home Sauvignon Blanc 2021,NY,PA,USD,11.99,5,1,5,1,winery-image,2018-05-18T18:09:42+0000,750,13.5,,89,,,,,,,,,,,
w118,San Felice Tasting Room,https://www.wine.com/product/product/san-felice-il-grigio-chianti-classico-riserva-2019/1040473,Sangiovese,4,Chianti Classico,$23.99,"Chianti Classico, Chianti, Tuscany, Italy",1040473,C/I: Popular,In Stock,WBO30292797_2019,"One visit is worth a thousand words. In the Chianti Classico district, the traditional home of hospitality, every visitor is welcome.",Wine:Product Detail:San Felice Il Grigio Chianti Classico Riserva 2019,NY,PA,USD,23.99,5,1,5,1,winery-image,2018-10-03T18:26:06+0000,750,13.5,94.0,92,,,,,90,93,93,,,,
w119,Beehive in the Vineyard,https://www.wine.com/product/product/argiano-brunello-di-montalcino-2018/1236761,Sangiovese,331,Montalcino,$94.99,"Montalcino, Tuscany, Italy",1236761,C/I: Long Tail,In Stock,CGM56390_2018,"The philosophy that unites Argiano is respect, first and foremost for nature. They apply the most effective and modern working methods, while remembering that every technique has to have the least possible impact on the surrounding environment.",Wine:Product Detail:Argiano Brunello di Montalcino 2018,NY,PA,USD,94.99,5,1,,,winery-image,2018-06-26T22:05:04+0000,750,14,94.0,95,,93,,,,93,94,,,,
w120,The cellars of Champagne Louis Roederer,https://www.wine.com/product/product/louis-roederer-cristal-brut-with-gift-box-2014/941189,Vintage Sparkling Wine,384,Champagne,$379.97,"Champagne, France",941189,C/I: Long Tail,In Stock,CGM52562_2014,Louis Roederer The cellars of Champagne Louis Roederer Winery Image,Wine:Product Detail:Louis Roederer Cristal Brut with Gift Box 2014,NY,PA,USD,379.97,5,1,5,1,winery-image,2018-06-11T22:06:05+0000,750,12,97.0,98,97,95,,,97,96,96,,,,
w121,David Ramey in the Cellar,https://www.wine.com/product/product/ramey-cabernet-sauvignon-2017/1195604,Cabernet Sauvignon,107,Napa Valley,$66.99,"Napa Valley, California",1195604,C/I: Popular,In Stock,SKRUSRAM2117_2017,Ramey’s Cabernet Sauvignon follows the Bordelaise model of terroir-riven wines blending different Bordeaux varietals.,Wine:Product Detail:Ramey Cabernet Sauvignon 2017,NY,PA,USD,66.99,5,1,,,winery-image,2019-11-05T18:25:24+0000,750,14.5,,90,,,,,95,95,,,,,
w122,Nicholas Audebert,https://www.wine.com/product/product/chateau-rauzan-segla-2016/202535,Bordeaux Red Blends,17,Margaux,$149.99,"Margaux, Bordeaux, France",202535,C/I: Luxury BDX,In Stock,FNY202535_2016,Chateau Rauzan-Segla Nicholas Audebert Winery Image,Wine:Product Detail:Chateau Rauzan-Segla 2016,NY,PA,USD,149.99,5,1,5,1,winery-image,2018-05-02T20:29:40+0000,750,13.5,98.0,95,,95,,,97,97,98,,,,
w123,The Castello at Dawn,https://www.wine.com/product/product/banfi-brunello-di-montalcino-375ml-half-bottle-2017/1164536,Sangiovese,124,Montalcino,$37.99,"Montalcino, Tuscany, Italy",1164536,C/I: Exception,In Stock,CGM55089_2017,Castello Banfi The Castello at Dawn Winery Image,Wine:Product Detail:Banfi Brunello di Montalcino (375ML half-bottle) 2017,NY,PA,USD,37.99,5,1,,,winery-image,2020-04-14T18:04:16+0000,375,15,93.0,92,,,,,92,92,,,,,
w124,Tenuta Guado al Tasso Estate,https://www.wine.com/product/product/antinori-villa-antinori-chianti-classico-riserva-2019/1080019,Sangiovese,141,Chianti Classico,$32.99,"Chianti Classico, Chianti, Tuscany, Italy",1080019,C/I: Popular,In Stock,PIN557859_2019,Tenuta Guado al Tasso is located in the small but prestigious Bolgheri DOC. This appellation has relatively recent history being approved in 1994 and since than it has become an internationally recognized reference point for winemaking.,Wine:Product Detail:Antinori Villa Antinori Chianti Classico Riserva 2019,NY,PA,USD,32.99,5,1,5,1,winery-image,2023-03-10T23:38:02+0000,750,14,93.0,91,,,,,91,93,92,,,,
w125,Monte Bello ,https://www.wine.com/product/product/ridge-geyserville-2020/913833,Other Red Blends,188,Alexander Valley,$46.99,"Alexander Valley, Sonoma County, California",913833,C/I: KVI,In Stock,WLD18822_2020,Ridge Monte Bello  Winery Image,Wine:Product Detail:Ridge Geyserville 2020,NY,PA,USD,46.99,5,1,5,1,winery-image,2020-03-12T22:18:34+0000,750,14.1,,92,97,96,,95,,,,,,,95
w126,Cune  Winery Image,https://www.wine.com/product/product/cune-imperial-gran-reserva-rioja-2016/1186243,Tempranillo,38,Rioja,$99.99,"Rioja, Spain",1186243,C/I: Exception,In Stock,SKRESCUN3216_2016,CVNE’s all female winemaking team,Wine:Product Detail:Cune Imperial Gran Reserva Rioja 2016,NY,PA,USD,99.99,5,1,5,1,winery-image,2021-04-19T17:55:54+0000,750,14.5,98.0,93,,,,,96,95,,,,,
w127,The Steep Vineyards of Pritchard Hill,https://www.wine.com/product/product/chappellet-signature-cabernet-sauvignon-2019/877368,Cabernet Sauvignon,382,Napa Valley,$89.99,"Napa Valley, California",877368,C/I: MAP,In Stock,WDW10517100102619_2019,Oat seed is spread as a cover crop to hold soil on steep terraces and add nutriments.,Wine:Product Detail:Chappellet Signature Cabernet Sauvignon 2019,NY,PA,USD,89.99,5,1,5,1,winery-image,2018-04-04T19:02:37+0000,750,14.5,95.0,93,94,,,,,93,94,,,,
w128,"VINCENT CHAPERON, THE CELLAR MASTER",https://www.wine.com/product/product/dom-perignon-vintage-luminous-bottle-2012/810493,Vintage Sparkling Wine,154,Champagne,$379.97,"Champagne, France",810493,C/I: Exception,In Stock,CGM51668_2012,In 2019 Vincent Chaperon became the Dom Pérignon Chef de Cave. He was born to a Bordeaux winemaking family where vineyards are a legacy and wine is a culture. Vincent sees Dom Pérignon’s vision – harmony as a source of emotion – as a true raison d’être. ,Wine:Product Detail:Dom Perignon Vintage Luminous Bottle 2012,NY,PA,USD,379.97,5,1,5,1,winery-image,2021-05-15T19:05:10+0000,750,0,97.0,96,,98,,,,96,,,,,
w129,Roserock by Drouhin Oregon  Winery Image,https://www.wine.com/product/product/roserock-by-drouhin-oregon-eola-amity-hills-pinot-noir-2021/1163079,Pinot Noir,222,Eola-Amity Hills,$39.99,"Eola-Amity Hills, Willamette Valley, Oregon",1163079,C/I: Popular,In Stock,WBO30296282_2021,Roserock by Drouhin Oregon  Winery Image,Wine:Product Detail:Roserock by Drouhin Oregon Eola-Amity Hills Pinot Noir 2021,NY,PA,USD,39.99,5,1,5,1,winery-image,2020-01-31T23:11:15+0000,750,14.1,93.0,94,,,,,,,,,,,
w130,The View of Mt. St. Helena,https://www.wine.com/product/product/continuum-2019/929908,Bordeaux Red Blends,133,Napa Valley,$294.99,"Napa Valley, California",929908,C/I: MAP,In Stock,SKRUSCON4019_2019,The view of Mt. St. Helena from the Continuum Estate.,Wine:Product Detail:Continuum 2019,NY,PA,USD,294.99,5,1,5,1,winery-image,2019-10-01T18:04:44+0000,750,14.9,99.0,95,100,,,,95,98,,,,,
w132,Maison Brotte Tanks,https://www.wine.com/product/product/maison-brotte-les-hauts-de-barville-chateauneuf-du-pape-2019/878243,Rhone Red Blends,1685,Chateauneuf-du-Pape,$38.99,"Chateauneuf-du-Pape, Rhone, France",878243,C/I: Long Tail,In Stock,TON12838_19_2019,"With a perfect blend of traditional and modern techniques, Maison Brotte produces balanced and complex wines that are consistently highly rated by the wine industries top publications.",Wine:Product Detail:Maison Brotte Les Hauts de Barville Chateauneuf-du-Pape 2019,NY,PA,USD,38.99,5,1,5,1,winery-image,2020-06-23T15:49:30+0000,750,15,92.0,93,,,,,,92,,,,,
w133,Chateau Pavie Cellar,https://www.wine.com/product/product/chateau-pavie-2015/153456,Bordeaux Red Blends,2,St. Emilion,$399.99,"St. Emilion, Bordeaux, France",153456,C/I: Luxury BDX,In Stock,FNY153456_2015,"Fermentation takes place in oak vats, each plot is vinified separately from the harvest to the final blend. Following the fermentation, the wine is aged 18 to 24 months in barrels.",Wine:Product Detail:Chateau Pavie 2015,NY,PA,USD,399.99,5,1,5,1,winery-image,2021-07-06T22:34:45+0000,750,14.5,100.0,98,,95,,,96,98,100,,,,
w134,Marietta Cellars Winery Video,https://www.wine.com/product/product/marietta-cellars-christo-2019/931986,Rhone Red Blends,127,North Coast,$25.99,"North Coast, California",931986,C/I: Long Tail,In Stock,VNT0850120019_01_2019,Marietta Cellars Winery Video,Wine:Product Detail:Marietta Cellars Christo 2019,NY,PA,USD,25.99,5,1,5,1,winery-video,2020-04-10T18:26:23+0000,750,14.7,93.0,92,,,,,,96,,,,,
w135,Boscarelli  Winery Image,https://www.wine.com/product/product/boscarelli-il-nocio-vino-nobile-di-montepulciano-2016/532488,Sangiovese,32,Montepulciano,$129.99,"Montepulciano, Tuscany, Italy",532488,C/I: Long Tail,In Stock,MHE0471215_2016,Boscarelli  Winery Image,Wine:Product Detail:Boscarelli Il Nocio Vino Nobile di Montepulciano 2016,NY,PA,USD,129.99,5,1,,,winery-image,2019-07-30T22:33:50+0000,750,13.5,,94,,,,,95,93,,,,,
w136,Mount Veeder Sunrise,https://www.wine.com/product/product/mount-veeder-winery-cabernet-sauvignon-2019/779098,Cabernet Sauvignon,117,Napa Valley,$58.99,"Napa Valley, California",779098,C/I: Popular,In Stock,PIN530553_2019,"Morning temperatures are warmer for the vines of Mount Veeder, sitting high above the Napa Valley morning fog line at 1500 ft. in elevation .",Wine:Product Detail:Mount Veeder Winery Cabernet Sauvignon 2019,NY,PA,USD,58.99,5,1,5,1,winery-image,2019-02-13T17:24:39+0000,750,14.5,,92,,,,92,,,,,,,93
w137,Paul Hobbs  Winery Image,https://www.wine.com/product/product/paul-hobbs-russian-river-chardonnay-2020/1176676,Chardonnay,834,Russian River,$58.99,"Russian River, Sonoma County, California",1176676,C/I: Popular,In Stock,PIN543851_2020,Paul Hobbs and Jennie Murphy sampling freshly fermenting Pinot Noir during harvest,Wine:Product Detail:Paul Hobbs Russian River Chardonnay 2020,NY,PA,USD,58.99,5,1,5,1,winery-image,2021-08-27T23:48:46+0000,750,14.3,,93,,,,,,95,93,,,,
w138,Dakota Shy Winery Image,https://www.wine.com/product/product/dakota-shy-napa-valley-cabernet-sauvignon-2019/877340,Cabernet Sauvignon,17,Napa Valley,$119.99,"Napa Valley, California",877340,C/I: Long Tail,In Stock,CGM52440_2019,Dakota Shy Winery Image,Wine:Product Detail:Dakota Shy Napa Valley Cabernet Sauvignon 2019,NY,PA,USD,119.99,5,1,,,winery-image,2018-02-01T23:41:14+0000,750,14.7,92.0,95,,,,,,,92,,,,
w139,Cambria Winery Winery Image,https://www.wine.com/product/product/cambria-katherines-vineyard-chardonnay-2021/1181185,Chardonnay,1078,Santa Maria Valley,$18.99,"Santa Maria Valley, Central Coast, California",1181185,C/I: Popular,In Stock,PIN556644_2021,Winemaker Jill Russell and Co-Proprietors Katherine and Julia Jackson. ,Wine:Product Detail:Cambria Katherine's Vineyard Chardonnay 2021,NY,PA,USD,18.99,5,1,5,1,winery-image,2020-10-02T15:41:48+0000,750,13.9,,90,,,,,91,,,,,,
w140,2022 (Futures Pre-Sale),https://www.wine.com/product/product/chateau-bellefont-belcier-futures-pre-sale-2022/1307954,Bordeaux Red Blends,44,St. Emilion,$44.97,"St. Emilion, Bordeaux, France",1307954,C/I: Luxury BDX,In Stock,FNY1307954_2022,"Chateau Bellefont Belcier (Futures Pre-Sale) 2022 from St. Emilion, Bordeaux, France - Deep garnet-purple in color. Sexy and floral character. Striking freshness to play off the rich, dark flavors. Polished tannins that adds to all the ripe red be...",Wine:Product Detail:Chateau Bellefont Belcier (Futures Pre-Sale) 2022,NY,PA,USD,44.97,5,1,,,,,750,14.5,98.0,93,,95,,,,95,95,,,,
w141,Coombsville Sunrise,https://www.wine.com/product/product/faust-cabernet-sauvignon-375ml-half-bottle-2019/1132137,Cabernet Sauvignon,137,Napa Valley,$31.99,"Napa Valley, California",1132137,C/I: Exception,In Stock,PIN551500_2019,Faust Coombsville Sunrise Winery Image,Wine:Product Detail:Faust Cabernet Sauvignon (375ML half-bottle) 2019,NY,PA,USD,31.99,5,1,5,1,winery-image,2020-03-18T16:06:34+0000,375,14.9,95.0,93,,,,,,90,,,,,
w142,Aerial View of Champagne Vineyards,https://www.wine.com/product/product/perrier-jouet-grand-brut-375ml-half-bottle/20808,Non-Vintage Sparkling Wine,1184,Champagne,$34.99,"Champagne, France",20808,C/I: Exception,In Stock,PIN968580_0,Perrier-Jouët Aerial View of Champagne Vineyards Winery Image,Wine:Product Detail:Perrier-Jouet Grand Brut (375ML half-bottle),NY,PA,USD,34.99,5,1,5,1,winery-image,2018-04-27T21:06:19+0000,375,12,91.0,90,,,,90,90,,,,,,
w143,Pinot Noir Grapes,https://www.wine.com/product/product/belle-glos-las-alturas-vineyard-pinot-noir-2020/881418,Pinot Noir,800,Santa Lucia Highlands,$49.99,"Santa Lucia Highlands, Monterey, Central Coast, California",881418,C/I: Popular,In Stock,PIN529099_2020,Belle Glos Pinot Noir Grapes Winery Image,Wine:Product Detail:Belle Glos Las Alturas Vineyard Pinot Noir 2020,NY,PA,USD,49.99,5,1,5,1,winery-image,2020-04-03T18:46:14+0000,750,0,,91,90,,,,90,,,,,,
w144,Chardonnay Vineyards,https://www.wine.com/product/product/laurent-perrier-blanc-de-blancs-brut-nature/543447,Non-Vintage Sparkling Wine,229,Champagne,$109.97,"Champagne, France",543447,C/I: Long Tail,In Stock,WBO30264441_0,Chardonnay Vineyards at the Laurent-Perrier Domaine in Tours-sur-Marne,Wine:Product Detail:Laurent-Perrier Blanc de Blancs Brut Nature,NY,PA,USD,109.97,5,1,5,1,winery-image,2018-11-14T00:43:19+0000,750,12,,92,,95,,90,,,,94,,,
w145,Ruinart Winery Image,https://www.wine.com/product/product/ruinart-brut-rose-second-skin-gift-wrapped-bottle/767504,Sparkling Rosé,311,Champagne,$119.99,"Champagne, France",767504,C/I: Long Tail,In Stock,CGM49952_0,"Over 125 feet below ground and almost 5 miles long, these unique caves are absent of vibration and offer optimal conditions for temperature, fermentation, and maturation.",Wine:Product Detail:Ruinart Brut Rose (Second Skin Gift Wrapped Bottle),NY,PA,USD,119.99,5,1,5,1,winery-image,2018-07-26T19:41:56+0000,750,12.5,92.0,94,,92,,,,91,,,,,
w146,Hand-Sealed Bodegas Vega Sicilia Wine,https://www.wine.com/product/product/bodegas-vega-sicilia-unico-reserva-especial-2022-release/1131732,Tempranillo,10,Ribera del Duero,$809.99,"Ribera del Duero, Spain",1131732,C/I: Long Tail,In Stock,DBWDB2910_22_0,Bodegas Vega Sicilia Hand-Sealed Bodegas Vega Sicilia Wine Winery Image,Wine:Product Detail:Bodegas Vega Sicilia Unico Reserva Especial (2022 Release),NY,PA,USD,809.99,5,1,,,winery-image,2018-08-21T22:00:12+0000,750,14.5,99.0,96,,,,97,,98,,,,,
w147,Hillside Select Vertical,https://www.wine.com/product/product/shafer-relentless-2018/941941,Syrah/Shiraz,988,Napa Valley,$89.99,"Napa Valley, California",941941,C/I: MAP,In Stock,WBO30291749_2018,"A recent tasting of Shafer’s signature Cabernet Sauvignon, Hillside Select, a wine with vintages going back to 1983. Robert M. Parker calls Hillside Select “one of the New World’s most profound Cabernet Sauvignons.”",Wine:Product Detail:Shafer Relentless 2018,NY,PA,USD,89.99,5,1,5,1,winery-image,2018-11-02T17:52:33+0000,750,15.8,97.0,94,,,,,,92,98,,,,96
w148,Adrianna Vineyard,https://www.wine.com/product/product/catena-alta-malbec-2018/781221,Malbec,76,Mendoza,$49.99,"Mendoza, Argentina",781221,C/I: KVI,In Stock,WBO30284233_2018,"At almost 5,000 feet elevation. Adrianna Vineyard has been called the Grand Cru of South America.",Wine:Product Detail:Catena Alta Malbec 2018,NY,PA,USD,49.99,5,1,5,1,winery-image,2019-03-12T20:40:03+0000,750,14,,91,,,,,93,93,,,,,
w149,Quinta de Vargellas at Night,https://www.wine.com/product/product/taylor-fladgate-50-year-old-tawny-golden-age/1131771,Port,242,Douro,$319.99,"Douro, Portugal",1131771,C/I: Long Tail,In Stock,CGM54977_0,Taylor Fladgate Quinta de Vargellas at Night Winery Image,Wine:Product Detail:Taylor Fladgate 50 Year Old Tawny Golden Age,NY,PA,USD,319.99,5,1,5,1,winery-image,2020-09-16T17:10:16+0000,750,20,,96,,,,,,97,,,,,
w150,Louis Martini Vineyards,https://www.wine.com/product/product/louis-martini-napa-valley-cabernet-sauvignon-2019/1219591,Cabernet Sauvignon,623,Napa Valley,$47.99,"Napa Valley, California",1219591,C/I: KVI,In Stock,CGM56133_2019,Louis M. Martini Louis Martini Vineyards Winery Image,Wine:Product Detail:Louis Martini Napa Valley Cabernet Sauvignon 2019,NY,PA,USD,47.99,5,1,5,1,winery-image,2018-08-17T18:58:47+0000,750,14.8,94.0,92,,91,,,94,,,,,,
w151,Sisters Maria and Luisa Ponzi,https://www.wine.com/product/product/ponzi-laurelwood-district-chardonnay-2019/1185489,Chardonnay,91,Chehalem Mountains,$37.99,"Chehalem Mountains, Willamette Valley, Oregon",1185489,C/I: Long Tail,In Stock,VNT0500430019_01_2019,Ponzi Sisters Maria and Luisa Ponzi Winery Image,Wine:Product Detail:Ponzi Laurelwood District Chardonnay 2019,NY,PA,USD,37.99,5,1,5,1,winery-image,2018-09-20T17:31:27+0000,750,13.2,93.0,93,,,,,93,95,,,,,
